property_id,price,latitude,longitude,neighborhood,square_feet,beds,baths,year_built
central-001,723318.0,30.263038833866016,-97.73537821706869,Central,2148.7,5,2.0,1997
central-002,666694.0,30.257000415073968,-97.75137507057401,Central,1769.7,2,3.5,2012
central-003,697362.0,30.26335472618297,-97.74167314278031,Central,2058.8,5,2.0,1986
central-004,773056.0,30.271310977138015,-97.7490573334696,Central,2112.7,4,2.5,1985
central-005,658373.0,30.27158275232707,-97.74732462106182,Central,1697.5,2,1.5,2007
central-006,698725.0,30.271218780584267,-97.73711153401925,Central,1855.2,4,3.5,1969
central-007,635046.0,30.252013990094376,-97.7561240122518,Central,1808.6,2,2.0,2002
central-008,597874.0,30.270797968040508,-97.75124931149824,Central,1294.5,4,2.0,2019
central-009,674707.0,30.273837640116202,-97.75150255912008,Central,1691.2,5,3.5,1976
central-010,655219.0,30.264148702316895,-97.73553722676289,Central,1763.7,5,1.5,1965
central-011,449442.0,30.261852650398726,-97.7561145206895,Central,1124.5,4,2.0,2010
central-012,671129.0,30.269294085902192,-97.74290333069028,Central,1880.3,4,2.5,2004
central-013,790098.0,30.268813480714606,-97.74112002984425,Central,2522.7,2,3.0,1998
central-014,677402.0,30.270411839532343,-97.72993027397902,Central,2420.9,2,1.5,1980
central-015,526767.0,30.263691711771596,-97.755490175328,Central,1350.7,5,1.5,1978
central-016,724274.0,30.253962743349476,-97.75224021173086,Central,2116.8,5,2.0,1961
central-017,637594.0,30.293424762194064,-97.73937031510052,Central,1981.7,2,1.5,1977
central-018,632210.0,30.269609403161095,-97.7504164698578,Central,1434.4,3,2.5,1989
central-019,642438.0,30.27679382207709,-97.741686562893,Central,1675.5,5,2.5,1977
central-020,604543.0,30.252127853497658,-97.74747677118165,Central,1783.4,2,2.0,1994
central-021,697798.0,30.276044655599208,-97.74759366038685,Central,1827.4,4,3.0,2018
central-022,584073.0,30.26067296541918,-97.72394377240808,Central,1352.3,5,2.0,1962
central-023,612408.0,30.275584157115865,-97.73963544130504,Central,1505.0,3,3.5,2019
central-024,611880.0,30.261306910741133,-97.73908535018666,Central,1784.2,3,3.5,1975
central-025,651116.0,30.268753291259497,-97.7288881786923,Central,1658.9,3,2.5,2020
central-026,713522.0,30.26977243525642,-97.73134598432463,Central,1917.2,5,2.0,2015
central-027,708121.0,30.271058807946154,-97.72927819607203,Central,1942.1,3,3.0,1985
central-028,645643.0,30.25488656720679,-97.72824164860992,Central,1927.0,3,1.5,2018
central-029,835444.0,30.28035299863018,-97.75306341113838,Central,2573.9,5,1.5,2006
central-030,560823.0,30.263648553894264,-97.74314609680047,Central,1474.2,2,3.5,2008
central-031,653294.0,30.268015264162116,-97.7373045508605,Central,1781.4,5,1.5,1970
central-032,445654.0,30.259610927567362,-97.75406931754381,Central,988.9,2,2.0,1991
central-033,575437.0,30.255262465540344,-97.74282431656665,Central,1481.2,5,3.5,1961
central-034,616079.0,30.27622482042774,-97.73825696106697,Central,1646.6,4,3.5,1978
central-035,817861.0,30.265185270648075,-97.74091752887855,Central,2411.7,4,2.0,2019
south-001,625141.0,30.23581440803465,-97.76794594502874,South,1924.2,5,3.5,1966
south-002,743251.0,30.232413549746056,-97.78317097801653,South,2907.3,2,2.5,1971
south-003,553138.0,30.245852682587994,-97.77656175453969,South,1601.9,5,3.5,1961
